page,url,solution_category,metrics_extracted,feature,input_data,output,ai_claim,ar_claim,business_claim,relevance_to_our_project,notes
pbv-identity-analysis-engine-ai-agent,https://www.twinit.ai/pbv-identity-analysis-engine-ai-agent,AI Makeup,+14%; 14%; 200%; +67%; 67%,,,,,,,,
ai-personal-color-profiling-ai-agent,https://www.twinit.ai/ai-personal-color-profiling-ai-agent,AI Makeup,+14%; 14%; 200%; +67%; 67%,,,,,,,,
real-texture-ar-simulation-ai-agent,https://www.twinit.ai/real-texture-ar-simulation-ai-agent,AI Makeup,+14%; 14%; 200%; +67%; 67%,,,,,,,,
customized-skincare-tutorial-ai-agent,https://www.twinit.ai/customized-skincare-tutorial-ai-agent,AI Skincare,+14%; 14%; 200%; +67%; 67%,,,,,,,,
home,https://www.twinit.ai/,Homepage,+14%; 14%; 200%; +67%; 67%,,,,,,,,
facial-zone-makeup-lab-ai-agent,https://www.twinit.ai/facial-zone-makeup-lab-ai-agent,AI Makeup,+14%; 14%; 200%; +67%; 67%,,,,,,,,
skin-profiling-ai-agent,https://www.twinit.ai/skin-profiling-ai-agent,AI Skincare,+14%; 14%; 200%; +67%; 67%,,,,,,,,
aging-preview-ai-agent,https://www.twinit.ai/aging-preview-ai-agent,AI Skincare,+14%; 14%; 200%; +67%; 67%,,,,,,,,
blog,https://www.twinit.ai/blog,Case Study,14%,,,,,,,,
contact-us,https://www.twinit.ai/contact-us,Contact,,,,,,,,,
post_dubai,https://www.twinit.ai/post/dubai,Case Study,,,,,,,,,
post_casestudy-departmentstore2,https://www.twinit.ai/post/casestudy-departmentstore2,Case Study,,,,,,,,,
post_-ed-98-84-eb-8c-80-eb-a9-b4-ec-84-b8-ec-a0-90--ed-8a-b8-ec-9c-84-eb-8b-9b-ai--eb-b7-b0-ed-8b-b0--ed-8c-9d-ec-97-85-ec-8a-a4-ed-86-a0-ec-96-b4-open,https://www.twinit.ai/post/%ED%98%84%EB%8C%80%EB%A9%B4%EC%84%B8%EC%A0%90-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai-%EB%B7%B0%ED%8B%B0-%ED%8C%9D%EC%97%85%EC%8A%A4%ED%86%A0%EC%96%B4-open,Case Study,,,,,,,,,
post_-ec-82-bc-ec-84-b1-ec-a0-84-ec-9e-90-ces-2026--ed-8a-b8-ec-9c-84-eb-8b-9b-ai-ec-99-80--ed-95-a8-ea-bb-98--ea-b5-ac-ed-98-84-ed-95-9c--eb-b7-b0-ed-8b-b0--ea-b8-b0-ec-88-a0,https://www.twinit.ai/post/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-ces-2026-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai%EC%99%80-%ED%95%A8%EA%BB%98-%EA%B5%AC%ED%98%84%ED%95%9C-%EB%B7%B0%ED%8B%B0-%EA%B8%B0%EC%88%A0,Case Study,,,,,,,,,
post_-eb-ac-b4-ec-8b-a0-ec-82-ac--ed-8a-b8-ec-9c-84-eb-8b-9b-ai-eb-a1-9c--ec-bb-ac-eb-9f-ac-eb-b6-80-ed-84-b0--ec-8a-a4-ed-83-80-ec-9d-bc-eb-a7-81-ea-b9-8c-ec-a7-80--ec-9d-b4-ec-96-b4-ec-a7-80-eb-8b-a4,https://www.twinit.ai/post/%EB%AC%B4%EC%8B%A0%EC%82%AC-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai%EB%A1%9C-%EC%BB%AC%EB%9F%AC%EB%B6%80%ED%84%B0-%EC%8A%A4%ED%83%80%EC%9D%BC%EB%A7%81%EA%B9%8C%EC%A7%80-%EC%9D%B4%EC%96%B4%EC%A7%80%EB%8B%A4,Case Study,,,,,,,,,
post_news_yeomi-travel-ai-personal_color,https://www.twinit.ai/post/news_yeomi-travel-ai-personal_color,Case Study,,,,,,,,,
