slug,url,title,language,depth,status,image_count,internal_link_count,external_link_count,metrics,crawled_at
pbv-identity-analysis-engine-ai-agent,https://www.twinit.ai/pbv-identity-analysis-engine-ai-agent,PBV Item Match Engine | PBV 아이템 매치 분석 엔진,ko,0,200,47,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:12:43.485Z
ai-personal-color-profiling-ai-agent,https://www.twinit.ai/ai-personal-color-profiling-ai-agent,AI Personal Color Profiling AI 퍼스널컬러 프로파일링 | twinit 트위닛,ko,0,200,42,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:12:52.825Z
real-texture-ar-simulation-ai-agent,https://www.twinit.ai/real-texture-ar-simulation-ai-agent,Real Texture AR Simulation 리얼 텍스처 AR 시뮬레이션,ko,0,200,53,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:14:07.274Z
customized-skincare-tutorial-ai-agent,https://www.twinit.ai/customized-skincare-tutorial-ai-agent,맞춤형 스킨케어 튜토리얼 | twinit 트위닛,ko,0,200,45,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:15:25.516Z
home,https://www.twinit.ai/,"Beauty Tech No.1, Twinit l 트위닛 AI",ko,0,200,98,13,19,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:23:39.807Z
facial-zone-makeup-lab-ai-agent,https://www.twinit.ai/facial-zone-makeup-lab-ai-agent,Facial Zone Makeup Lab | twinit 트위닛,ko,0,200,46,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:23:47.366Z
skin-profiling-ai-agent,https://www.twinit.ai/skin-profiling-ai-agent,Skin Profiling | twinit 트위닛,ko,0,200,39,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:23:54.621Z
aging-preview-ai-agent,https://www.twinit.ai/aging-preview-ai-agent,에이징 프리뷰 Aging Preview | twinit 트위닛,ko,0,200,44,10,0,+14%; 14%; 200%; +67%; 67%,2026-06-24T12:24:01.659Z
blog,https://www.twinit.ai/blog,Case Study 도입사례 | twinit 트위닛,ko,0,200,15,24,0,14%,2026-06-24T12:24:08.391Z
contact-us,https://www.twinit.ai/contact-us,Contact Us | twinit 트위닛,ko,0,200,3,13,0,,2026-06-24T12:24:18.675Z
post_dubai,https://www.twinit.ai/post/dubai,K뷰티 글로벌 진출을 위한 필수 체크리스트,ko,0,200,13,10,0,,2026-06-24T12:24:29.065Z
post_casestudy-departmentstore2,https://www.twinit.ai/post/casestudy-departmentstore2,뷰티 팝업스토어 성공 전략,ko,0,200,7,11,0,,2026-06-24T12:24:39.758Z
post_-ed-98-84-eb-8c-80-eb-a9-b4-ec-84-b8-ec-a0-90--ed-8a-b8-ec-9c-84-eb-8b-9b-ai--eb-b7-b0-ed-8b-b0--ed-8c-9d-ec-97-85-ec-8a-a4-ed-86-a0-ec-96-b4-open,https://www.twinit.ai/post/%ED%98%84%EB%8C%80%EB%A9%B4%EC%84%B8%EC%A0%90-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai-%EB%B7%B0%ED%8B%B0-%ED%8C%9D%EC%97%85%EC%8A%A4%ED%86%A0%EC%96%B4-open,[현대면세점] 트위닛 AI 뷰티 팝업스토어 OPEN !,ko,0,200,8,10,0,,2026-06-24T12:24:49.105Z
post_-ec-82-bc-ec-84-b1-ec-a0-84-ec-9e-90-ces-2026--ed-8a-b8-ec-9c-84-eb-8b-9b-ai-ec-99-80--ed-95-a8-ea-bb-98--ea-b5-ac-ed-98-84-ed-95-9c--eb-b7-b0-ed-8b-b0--ea-b8-b0-ec-88-a0,https://www.twinit.ai/post/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-ces-2026-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai%EC%99%80-%ED%95%A8%EA%BB%98-%EA%B5%AC%ED%98%84%ED%95%9C-%EB%B7%B0%ED%8B%B0-%EA%B8%B0%EC%88%A0,"[삼성전자] CES 2026, 트위닛 AI와 함께 구현한 뷰티 기술",ko,0,200,6,10,1,,2026-06-24T12:24:57.609Z
post_-eb-ac-b4-ec-8b-a0-ec-82-ac--ed-8a-b8-ec-9c-84-eb-8b-9b-ai-eb-a1-9c--ec-bb-ac-eb-9f-ac-eb-b6-80-ed-84-b0--ec-8a-a4-ed-83-80-ec-9d-bc-eb-a7-81-ea-b9-8c-ec-a7-80--ec-9d-b4-ec-96-b4-ec-a7-80-eb-8b-a4,https://www.twinit.ai/post/%EB%AC%B4%EC%8B%A0%EC%82%AC-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai%EB%A1%9C-%EC%BB%AC%EB%9F%AC%EB%B6%80%ED%84%B0-%EC%8A%A4%ED%83%80%EC%9D%BC%EB%A7%81%EA%B9%8C%EC%A7%80-%EC%9D%B4%EC%96%B4%EC%A7%80%EB%8B%A4,[소담상회with 무신사] 트위닛 AI 스타일링까지 추천받아요,ko,0,200,7,10,1,,2026-06-24T12:25:09.460Z
post_news_yeomi-travel-ai-personal_color,https://www.twinit.ai/post/news_yeomi-travel-ai-personal_color,'AI 퍼스널컬러'로 바이럴 하는 법,ko,0,200,3,10,1,,2026-06-24T12:25:18.141Z
post_-ec-a0-95-ec-83-98-eb-ac-bc-eb-b7-b0-ed-8b-b0--ed-8a-b8-ec-9c-84-eb-8b-9b-ai--eb-88-88-eb-8f-99-ec-9e-90--eb-b6-84-ec-84-9d-ec-9c-bc-eb-a1-9c--eb-82-b4--ec-bb-ac-eb-9f-ac-eb-a5-bc--ec-9d-bd-eb-8b-a4,https://www.twinit.ai/post/%EC%A0%95%EC%83%98%EB%AC%BC%EB%B7%B0%ED%8B%B0-%ED%8A%B8%EC%9C%84%EB%8B%9B-ai-%EB%88%88%EB%8F%99%EC%9E%90-%EB%B6%84%EC%84%9D%EC%9C%BC%EB%A1%9C-%EB%82%B4-%EC%BB%AC%EB%9F%AC%EB%A5%BC-%EC%9D%BD%EB%8B%A4,[정샘물뷰티] 트위닛 AI 눈동자 분석으로 내 컬러를 읽다,ko,0,200,10,10,1,,2026-06-24T12:26:03.414Z
